index,name,category,temporal_stat,description,source
45,mean_color_hist_B_bin13,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
46,mean_color_hist_B_bin14,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
47,mean_color_hist_B_bin15,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
48,mean_hsv_hist_H_bin0,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
49,mean_hsv_hist_H_bin1,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
50,mean_hsv_hist_H_bin2,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
51,mean_hsv_hist_H_bin3,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
52,mean_hsv_hist_H_bin4,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
53,mean_hsv_hist_H_bin5,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
54,mean_hsv_hist_H_bin6,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
55,mean_hsv_hist_H_bin7,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
56,mean_hsv_hist_H_bin8,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
57,mean_hsv_hist_H_bin9,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 9）,OpenCV calcHist
58,mean_hsv_hist_H_bin10,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 10）,OpenCV calcHist
59,mean_hsv_hist_H_bin11,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 11）,OpenCV calcHist
60,mean_hsv_hist_H_bin12,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 12）,OpenCV calcHist
61,mean_hsv_hist_H_bin13,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 13）,OpenCV calcHist
62,mean_hsv_hist_H_bin14,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 14）,OpenCV calcHist
63,mean_hsv_hist_H_bin15,HSV Histogram,フレーム平均,フレーム平均: HueチャンネルのHSVヒストグラム（bin 15）,OpenCV calcHist
64,mean_hsv_hist_S_bin0,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
65,mean_hsv_hist_S_bin1,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
66,mean_hsv_hist_S_bin2,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
67,mean_hsv_hist_S_bin3,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
68,mean_hsv_hist_S_bin4,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
69,mean_hsv_hist_S_bin5,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
70,mean_hsv_hist_S_bin6,HSV Histogram,フレーム平均,フレーム平均: SaturationチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
