removed_index,removed_name,correlated_with_index,correlated_with_name,correlation
494,temporal_mean_lbp_hist_bin11,309,std_lbp_hist_bin11,0.9617689457319806
684,temporal_std_lbp_hist_bin16,314,std_lbp_hist_bin16,0.9614382515761589
588,temporal_std_color_hist_B_bin1,218,std_color_hist_B_bin1,0.9613609605633258
614,temporal_std_hsv_hist_H_bin11,244,std_hsv_hist_H_bin11,0.961051626063513
144,mean_hog_p75,139,mean_hog_mean,0.960937541698603
702,temporal_std_gradient_magnitude_std,473,temporal_mean_glcm_contrast_mean,0.9606195609726093
611,temporal_std_hsv_hist_H_bin8,426,temporal_mean_hsv_hist_H_bin8,0.9605022605579795
502,temporal_mean_lbp_hist_bin19,132,mean_lbp_hist_bin19,0.9604919729584949
581,temporal_std_color_hist_G_bin10,211,std_color_hist_G_bin10,0.9604683852589354
156,mean_stat_G_std,155,mean_stat_G_mean,0.9602922121680836
612,temporal_std_hsv_hist_H_bin9,427,temporal_mean_hsv_hist_H_bin9,0.9601237271155945
497,temporal_mean_lbp_hist_bin14,312,std_lbp_hist_bin14,0.9598688515464376
558,temporal_std_color_hist_R_bin3,373,temporal_mean_color_hist_R_bin3,0.9598624234348517
591,temporal_std_color_hist_B_bin4,221,std_color_hist_B_bin4,0.9598618078944893
659,temporal_std_glcm_contrast_std,473,temporal_mean_glcm_contrast_mean,0.9597191250458665
576,temporal_std_color_hist_G_bin5,391,temporal_mean_color_hist_G_bin5,0.959557512655168
590,temporal_std_color_hist_B_bin3,220,std_color_hist_B_bin3,0.9594939324844745
569,temporal_std_color_hist_R_bin14,384,temporal_mean_color_hist_R_bin14,0.9594613302017596
599,temporal_std_color_hist_B_bin12,229,std_color_hist_B_bin12,0.9594367897214265
320,std_lbp_hist_bin22,135,mean_lbp_hist_bin22,0.9593912839745872
717,temporal_std_stat_B_std,531,temporal_mean_stat_B_mean,0.9592596430838274
730,temporal_std_fft_magnitude_std,537,temporal_mean_stat_gray_mean,0.9591411407164857
568,temporal_std_color_hist_R_bin13,383,temporal_mean_color_hist_R_bin13,0.9590801467594815
317,std_lbp_hist_bin19,132,mean_lbp_hist_bin19,0.959066339456311
561,temporal_std_color_hist_R_bin6,376,temporal_mean_color_hist_R_bin6,0.9587838118954918
349,std_stat_B_kurtosis,348,std_stat_B_skew,0.958588516679221
343,std_stat_G_kurtosis,342,std_stat_G_skew,0.9585000327701644
448,temporal_mean_hsv_hist_S_bin14,78,mean_hsv_hist_S_bin14,0.9581754093633682
660,temporal_std_glcm_dissimilarity_mean,476,temporal_mean_glcm_dissimilarity_std,0.9579186212872828
506,temporal_mean_lbp_hist_bin23,136,mean_lbp_hist_bin23,0.9579147614637046
574,temporal_std_color_hist_G_bin3,389,temporal_mean_color_hist_G_bin3,0.9578789887496659
594,temporal_std_color_hist_B_bin7,409,temporal_mean_color_hist_B_bin7,0.957749418613838
711,temporal_std_stat_G_std,525,temporal_mean_stat_G_mean,0.9575552771361622
332,std_gradient_magnitude_std,288,std_glcm_contrast_mean,0.9572802892055484
596,temporal_std_color_hist_B_bin9,226,std_color_hist_B_bin9,0.9571686027210059
584,temporal_std_color_hist_G_bin13,399,temporal_mean_color_hist_G_bin13,0.9570650405688872
496,temporal_mean_lbp_hist_bin13,311,std_lbp_hist_bin13,0.9567030984006578
582,temporal_std_color_hist_G_bin11,212,std_color_hist_G_bin11,0.9561816858326806
116,mean_lbp_hist_bin3,107,mean_glcm_homogeneity_mean,0.9561156458778375
162,mean_stat_B_std,161,mean_stat_B_mean,0.9558849204711993
563,temporal_std_color_hist_R_bin8,193,std_color_hist_R_bin8,0.955736032868709
600,temporal_std_color_hist_B_bin13,415,temporal_mean_color_hist_B_bin13,0.9557184015805211
559,temporal_std_color_hist_R_bin4,374,temporal_mean_color_hist_R_bin4,0.9556586703007424
556,temporal_std_color_hist_R_bin1,186,std_color_hist_R_bin1,0.9555759808654376
341,std_stat_G_std,340,std_stat_G_mean,0.9555396850828107
475,temporal_mean_glcm_dissimilarity_mean,473,temporal_mean_glcm_contrast_mean,0.9554577613475163
544,temporal_mean_fft_magnitude_mean,537,temporal_mean_stat_gray_mean,0.9554577306284235
302,std_lbp_hist_bin4,117,mean_lbp_hist_bin4,0.9548430754804504
725,temporal_std_stat_gray_kurtosis,539,temporal_mean_stat_gray_skew,0.9546398540917123
664,temporal_std_glcm_energy_mean,619,temporal_std_hsv_hist_S_bin0,0.9541981435530409
560,temporal_std_color_hist_R_bin5,375,temporal_mean_color_hist_R_bin5,0.9537697743616617
572,temporal_std_color_hist_G_bin1,202,std_color_hist_G_bin1,0.9537438301101188
293,std_glcm_homogeneity_std,292,std_glcm_homogeneity_mean,0.9534451115219728
601,temporal_std_color_hist_B_bin14,231,std_color_hist_B_bin14,0.9534318808660297
592,temporal_std_color_hist_B_bin5,407,temporal_mean_color_hist_B_bin5,0.9532328299612906
533,temporal_mean_stat_B_skew,348,std_stat_B_skew,0.9531151386334639
595,temporal_std_color_hist_B_bin8,225,std_color_hist_B_bin8,0.9528554833373802
694,temporal_std_hog_mean,509,temporal_mean_hog_mean,0.9525716756002786
575,temporal_std_color_hist_G_bin4,390,temporal_mean_color_hist_G_bin4,0.9525529759059684
319,std_lbp_hist_bin21,134,mean_lbp_hist_bin21,0.9521755305623912
598,temporal_std_color_hist_B_bin11,228,std_color_hist_B_bin11,0.9516717147628144
589,temporal_std_color_hist_B_bin2,219,std_color_hist_B_bin2,0.9514047120062453
562,temporal_std_color_hist_R_bin7,377,temporal_mean_color_hist_R_bin7,0.9514030327135484
593,temporal_std_color_hist_B_bin6,408,temporal_mean_color_hist_B_bin6,0.9512432725560832
169,mean_stat_gray_skew,167,mean_stat_gray_mean,0.9510295091740609
79,mean_hsv_hist_S_bin15,48,mean_hsv_hist_H_bin0,0.9508853137571405
95,mean_hsv_hist_V_bin15,48,mean_hsv_hist_H_bin0,0.9507456991804173
80,mean_hsv_hist_V_bin0,48,mean_hsv_hist_H_bin0,0.9507456991804172
64,mean_hsv_hist_S_bin0,48,mean_hsv_hist_H_bin0,0.9507456991804172
579,temporal_std_color_hist_G_bin8,209,std_color_hist_G_bin8,0.9507307399381645
566,temporal_std_color_hist_R_bin11,196,std_color_hist_R_bin11,0.9507108907110855
137,mean_lbp_hist_bin24,48,mean_hsv_hist_H_bin0,0.9506361467286882
567,temporal_std_color_hist_R_bin12,197,std_color_hist_R_bin12,0.9505250368534192
583,temporal_std_color_hist_G_bin12,213,std_color_hist_G_bin12,0.9503259887030312
564,temporal_std_color_hist_R_bin9,194,std_color_hist_R_bin9,0.9502965277823118
528,temporal_mean_stat_G_kurtosis,342,std_stat_G_skew,0.9500216107880649
