filename,c1,c2,c3,alpha,cluster,PC1,PC2,PC3
Swarm-c1_1.00-c2_1.00-c3_1.00-alpha_1.00.gif,1.0,1.0,1.0,1.0,11,-5.0972279503293905,0.923040077341802,-4.306095775913949
Swarm-c1_1.00-c2_1.00-c3_1.00-alpha_1.50.gif,1.0,1.0,1.0,1.5,11,-4.452100596040944,2.8504972212661412,-5.194740073375887
Swarm-c1_1.00-c2_1.00-c3_1.00-alpha_2.00.gif,1.0,1.0,1.0,2.0,11,-3.3081254127284305,-0.68972130338621,-1.8499168096111922
Swarm-c1_1.00-c2_1.00-c3_1.00-alpha_2.50.gif,1.0,1.0,1.0,2.5,8,-8.477847757179596,0.9151441537295408,-4.273190550873949
Swarm-c1_1.00-c2_1.00-c3_1.00-alpha_3.00.gif,1.0,1.0,1.0,3.0,9,-8.965551397015506,5.256292801545987,-2.3861897007487167
Swarm-c1_1.00-c2_1.00-c3_1.50-alpha_1.00.gif,1.0,1.0,1.5,1.0,9,-2.5171846112470444,4.0706459658089695,-4.388259442513641
Swarm-c1_1.00-c2_1.00-c3_1.50-alpha_1.50.gif,1.0,1.0,1.5,1.5,8,3.5544482816961924,-1.776573679548113,-7.079955053190753
Swarm-c1_1.00-c2_1.00-c3_1.50-alpha_2.00.gif,1.0,1.0,1.5,2.0,10,-0.4181280910784936,-3.0211654654356552,-0.5600822867134119
Swarm-c1_1.00-c2_1.00-c3_1.50-alpha_2.50.gif,1.0,1.0,1.5,2.5,11,-7.813530406644951,-0.7565496048549996,-1.789639038309951
Swarm-c1_1.00-c2_1.00-c3_1.50-alpha_3.00.gif,1.0,1.0,1.5,3.0,9,-11.211250980703136,-0.17642521475519213,-0.31997062378697777
Swarm-c1_1.00-c2_1.00-c3_2.00-alpha_1.00.gif,1.0,1.0,2.0,1.0,9,-2.9549005526816514,3.874681148528189,-5.621030506796369
Swarm-c1_1.00-c2_1.00-c3_2.00-alpha_1.50.gif,1.0,1.0,2.0,1.5,11,0.4947815337225886,-1.1540144596990838,-2.80795362278663
Swarm-c1_1.00-c2_1.00-c3_2.00-alpha_2.00.gif,1.0,1.0,2.0,2.0,11,-3.4016490229175016,0.25528859400276055,-1.6849645569921907
Swarm-c1_1.00-c2_1.00-c3_2.00-alpha_2.50.gif,1.0,1.0,2.0,2.5,9,-7.972832518337794,1.7249161622332005,-5.383649533790391
Swarm-c1_1.00-c2_1.00-c3_2.00-alpha_3.00.gif,1.0,1.0,2.0,3.0,1,-0.8550401081888898,4.660700361988949,0.2203651110458723
Swarm-c1_1.00-c2_1.00-c3_2.50-alpha_1.00.gif,1.0,1.0,2.5,1.0,1,1.0655564488608242,4.309040781562805,-3.981849451779867
Swarm-c1_1.00-c2_1.00-c3_2.50-alpha_1.50.gif,1.0,1.0,2.5,1.5,9,-4.996727143634001,-3.8921960837530927,-0.15321698024292507
Swarm-c1_1.00-c2_1.00-c3_2.50-alpha_2.00.gif,1.0,1.0,2.5,2.0,8,-8.094446386920833,-1.3879548536722295,-5.90089321159272
Swarm-c1_1.00-c2_1.00-c3_2.50-alpha_2.50.gif,1.0,1.0,2.5,2.5,6,7.7505037268654675,-5.98140762802116,4.85932941252394
Swarm-c1_1.00-c2_1.00-c3_2.50-alpha_3.00.gif,1.0,1.0,2.5,3.0,9,-4.636670061036001,-0.35221986993787086,-0.1193042494382686
Swarm-c1_1.00-c2_1.00-c3_3.00-alpha_1.00.gif,1.0,1.0,3.0,1.0,1,2.003494653066824,3.5964078547530924,-5.393125693613779
Swarm-c1_1.00-c2_1.00-c3_3.00-alpha_1.50.gif,1.0,1.0,3.0,1.5,9,1.5915317001884701,-0.9046379853731474,-3.158284363129684
Swarm-c1_1.00-c2_1.00-c3_3.00-alpha_2.00.gif,1.0,1.0,3.0,2.0,1,2.962506913206186,-0.6654213088928441,-1.6840049591273443
Swarm-c1_1.00-c2_1.00-c3_3.00-alpha_2.50.gif,1.0,1.0,3.0,2.5,9,-3.3722330507290086,2.5218194772112854,-3.3801101020079263
Swarm-c1_1.00-c2_1.00-c3_3.00-alpha_3.00.gif,1.0,1.0,3.0,3.0,8,-10.47420078983946,4.487438051005842,-7.727212621430735
Swarm-c1_1.00-c2_1.50-c3_1.00-alpha_1.00.gif,1.0,1.5,1.0,1.0,5,-6.072421046370714,13.106684110654324,-1.1426907305447653
Swarm-c1_1.00-c2_1.50-c3_1.00-alpha_1.50.gif,1.0,1.5,1.0,1.5,4,21.67571324437617,3.518508033048321,-11.147755676940077
Swarm-c1_1.00-c2_1.50-c3_1.00-alpha_2.00.gif,1.0,1.5,1.0,2.0,7,14.382070241829531,-4.184311879331608,1.1105445961818483
Swarm-c1_1.00-c2_1.50-c3_1.00-alpha_2.50.gif,1.0,1.5,1.0,2.5,7,19.821409582244417,-8.991088614529158,-0.579977878865625
Swarm-c1_1.00-c2_1.50-c3_1.00-alpha_3.00.gif,1.0,1.5,1.0,3.0,6,7.566042429315729,-8.32331471490052,2.508534328465439
Swarm-c1_1.00-c2_1.50-c3_1.50-alpha_1.00.gif,1.0,1.5,1.5,1.0,5,-4.695708820422351,14.010674893433608,-2.973836733499396
